"구분","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","평균"
"관찰지역수","17","17","29","29","17","17","21.00"
"합계","217,162","189,783","229,855","224,062","134,873","110,323","184,343.00"
"들꿩","0","0","0","0","0","0","0.00"
"멧닭","0","0","0","0","0","0","0.00"
"메추라기","0","0","0","1","0","0","0.17"
"꿩","59","54","81","78","47","39","59.67"
"개리","0","104","0","11","1","0","19.33"
"큰기러기","61,985","24,485","37,637","24,298","12,063","1,274","26,957.00"
"회색기러기","0","0","0","0","0","0","0.00"
"쇠기러기","13,244","51,031","33,647","25,355","26,055","7,831","26,193.83"
"흰이마기러기","0","0","0","0","0","0","0.00"
"줄기러기","0","0","0","0","0","0","0.00"
"흰머리기러기","0","0","0","0","0","0","0.00"
"흰기러기","1","0","5","1","0","0","1.17"
"붉은가슴기러기","0","0","0","0","0","0","0.00"
"캐나다기러기","0","0","0","0","0","0","0.00"
"흑기러기","0","0","0","0","0","0","0.00"
"흰얼굴기러기","0","0","0","0","0","0","0.00"
"혹고니","0","0","0","1","0","0","0.17"
"고니","0","3","0","0","0","0","0.50"
"큰고니","48","2,608","1,169","1,457","1,807","18","1,184.50"
"혹부리오리","27","46","1,550","2,931","1,356","1,570","1,246.67"
"황오리","197","272","1,375","1,372","973","190","729.83"
"원앙사촌","0","0","0","0","0","0","0.00"
"원앙","268","123","74","141","16","155","129.50"
"알락오리","2,731","2,724","793","1,085","1,254","1,794","1,730.17"
"청머리오리","8,306","359","119","358","775","1,219","1,856.00"
"홍머리오리","6,602","1,328","81","449","272","705","1,572.83"
"아메리카홍머리오리","0","0","0","0","0","0","0.00"
"미국오리","0","0","0","0","0","0","0.00"
"청둥오리","2,641","24,867","33,147","36,389","23,349","21,010","23,567.17"
"흰뺨검둥오리","9,926","10,501","25,017","30,627","12,099","10,681","16,475.17"
"넓적부리","64","7,032","1,689","1,226","685","2,022","2,119.67"
"고방오리","466","471","261","845","315","76","405.67"
"발구지","0","0","0","0","0","4","0.67"
"가창오리","0","96","0","6","0","154","42.67"
"쇠오리","751","1,260","3,701","4,381","2,516","2,665","2,545.67"
"미국쇠오리","0","0","0","0","0","0","0.00"
"붉은부리흰죽지","0","0","0","0","0","0","0.00"
"큰흰죽지","0","0","0","0","0","0","0.00"
"미국흰죽지","0","0","0","0","0","0","0.00"
"흰죽지","8,133","7,079","7,786","5,111","4,787","8,698","6,932.33"
"붉은가슴흰죽지","0","0","0","0","0","0","0.00"
"적갈색흰죽지","0","0","0","0","0","0","0.00"
"북미댕기흰죽지","0","0","0","0","0","0","0.00"
"댕기흰죽지","299","2,792","6,386","7,325","955","2,404","3,360.17"
"검은머리흰죽지","687","138","106","259","44","313","257.83"
"쇠검은머리흰죽지","0","0","0","0","0","0","0.00"
"호사북방오리","0","0","0","0","0","0","0.00"
"흰줄박이오리","0","0","0","0","0","0","0.00"
"검둥오리사촌","0","0","0","0","0","0","0.00"
"검둥오리","0","0","0","0","0","0","0.00"
"바다꿩","0","0","0","0","0","0","0.00"
"꼬마오리","0","0","0","0","0","0","0.00"
"흰뺨오리","0","635","1,599","952","504","367","676.17"
"북방흰뺨오리","0","0","0","0","0","0","0.00"
"흰비오리","0","78","165","222","128","37","105.00"
"비오리","0","842","2,165","2,767","1,074","712","1,260.00"
"바다비오리","0","0","71","125","120","55","61.83"
"호사비오리","10","58","28","53","50","18","36.17"
"아비","0","0","0","0","0","0","0.00"
"큰회색머리아비","0","0","0","0","0","0","0.00"
"회색머리아비","0","0","0","0","0","0","0.00"
"흰부리아비","0","0","0","0","0","0","0.00"
"레이산알바트로스","0","0","0","0","0","0","0.00"
"알바트로스","0","0","0","0","0","0","0.00"
"흰배슴새","0","0","0","0","0","0","0.00"
"슴새","0","0","0","0","0","0","0.00"
"쇠부리슴새","0","0","0","0","0","0","0.00"
"붉은발슴새","0","0","0","0","0","0","0.00"
"검은슴새","0","0","0","0","0","0","0.00"
"바다제비","0","0","0","0","0","0","0.00"
"논병아리","503","436","538","677","243","128","420.83"
"큰논병아리","0","0","0","0","0","0","0.00"
"뿔논병아리","976","1,544","1,146","431","438","794","888.17"
"귀뿔논병아리","0","0","0","0","0","0","0.00"
"검은목논병아리","1,142","359","41","42","69","155","301.33"
"큰홍학","0","0","0","0","0","0","0.00"
"먹황새","0","0","0","0","0","0","0.00"
"황새","0","0","4","5","0","0","1.50"
"검은머리흰따오기","0","0","0","0","0","0","0.00"
"따오기","0","0","0","0","0","0","0.00"
"적갈색따오기","0","0","0","0","0","0","0.00"
"노랑부리저어새","80","108","82","20","60","57","67.83"
"저어새","133","43","7","2","0","46","38.50"
"알락해오라기","0","0","1","0","0","0","0.17"
"덤불해오라기","0","0","0","0","0","0","0.00"
"큰덤불해오라기","0","0","0","0","0","0","0.00"
"열대붉은해오라기","0","0","0","0","0","0","0.00"
"검은해오라기","0","0","0","0","0","0","0.00"
"붉은해오라기","0","0","0","0","0","0","0.00"
"푸른눈테해오라기","0","0","0","0","0","0","0.00"
"해오라기","3","1","0","17","8","0","4.83"
"검은댕기해오라기","0","0","0","0","0","0","0.00"
"흰날개해오라기","0","0","0","0","0","0","0.00"
"황로","3","0","4","0","0","0","1.17"
"왜가리","535","325","550","522","321","692","490.83"
"붉은왜가리","0","0","0","0","0","0","0.00"
"중대백로","407","335","682","693","281","429","471.17"
"중백로","3","0","1","0","0","0","0.67"
"쇠백로","196","43","147","96","23","31","89.33"
"흑로","0","0","0","0","0","0","0.00"
"노랑부리백로","0","0","0","0","0","0","0.00"
"큰군함조","0","0","0","0","0","0","0.00"
"군함조","0","0","0","0","0","0","0.00"
"큰사다새","0","0","0","0","0","0","0.00"
"사다새","0","0","0","0","0","0","0.00"
"푸른얼굴얼가니새","0","0","0","0","0","0","0.00"
"붉은발얼가니새","0","0","0","0","0","0","0.00"
"갈색얼가니새","0","0","0","0","0","0","0.00"
"민물가마우지","4,216","555","1,697","1,796","801","1,720","1,797.50"
"가마우지","0","0","0","0","0","0","0.00"
"쇠가마우지","0","0","0","0","0","0","0.00"
"붉은뺨가마우지","0","0","0","0","0","0","0.00"
"황조롱이","43","49","71","58","29","45","49.17"
"비둘기조롱이","1","0","0","0","0","0","0.17"
"쇠황조롱이","0","1","4","1","0","3","1.50"
"새호리기","4","0","0","0","0","0","0.67"
"헨다손매","0","0","0","0","0","0","0.00"
"흰매","0","0","0","0","0","0","0.00"
"매","0","0","1","1","3","0","0.83"
"물수리","9","1","2","0","0","0","2.00"
"검은댕기수리","0","0","0","0","0","0","0.00"
"검은어깨매","0","0","2","1","0","0","0.50"
"벌매","0","0","0","0","0","0","0.00"
"솔개","0","0","0","0","0","0","0.00"
"흰꼬리수리","1","6","48","65","51","27","33.00"
"참수리","0","0","2","1","2","0","0.83"
"수염수리","0","0","0","0","0","0","0.00"
"고산대머리수리","0","0","0","0","0","0","0.00"
"독수리","1","0","42","146","287","44","86.67"
"관수리","0","0","0","0","0","0","0.00"
"개구리매","0","0","0","2","0","0","0.33"
"잿빛개구리매","2","1","16","12","4","8","7.17"
"알락개구리매","0","0","0","0","0","0","0.00"
"붉은배새매","0","0","0","0","0","0","0.00"
"조롱이","0","0","0","0","0","0","0.00"
"작은새매","0","0","0","0","0","0","0.00"
"새매","5","5","3","5","0","3","3.50"
"참매","2","6","5","9","2","0","4.00"
"왕새매","0","0","0","0","0","0","0.00"
"말똥가리","30","58","122","167","68","58","83.83"
"큰말똥가리","0","1","1","0","0","1","0.50"
"털발말똥가리","2","0","0","2","0","0","0.67"
"항라머리검독수리","0","0","0","0","0","0","0.00"
"초원수리","0","0","0","0","0","0","0.00"
"흰죽지수리","0","0","0","0","0","0","0.00"
"검독수리","0","0","0","0","0","0","0.00"
"흰배줄무늬수리","0","0","0","0","0","0","0.00"
"흰점어깨수리","0","0","0","0","0","0","0.00"
"뿔매","0","0","0","0","0","0","0.00"
"느시","0","0","0","0","0","0","0.00"
"알락뜸부기","0","0","0","0","0","0","0.00"
"흰눈썹뜸부기","0","0","0","0","0","0","0.00"
"흰배뜸부기","0","0","0","0","0","0","0.00"
"쇠뜸부기","0","0","0","0","0","0","0.00"
"쇠뜸부기사촌","0","0","0","0","0","0","0.00"
"한국뜸부기","0","0","0","0","0","0","0.00"
"뜸부기","1","0","0","0","0","0","0.17"
"쇠물닭","17","2","2","6","6","1","5.67"
"물닭","9,774","15,557","5,864","6,897","4,123","4,615","7,805.00"
"쇠재두루미","0","0","0","0","0","0","0.00"
"시베리아흰두루미","0","0","0","0","0","0","0.00"
"캐나다두루미","0","0","0","0","0","0","0.00"
"재두루미","15","288","464","824","281","246","353.00"
"검은목두루미","0","0","0","0","0","0","0.00"
"흑두루미","0","0","0","0","0","0","0.00"
"두루미","0","6","483","435","27","0","158.50"
"세가락메추라기","0","0","0","0","0","0","0.00"
"검은머리물떼새","0","0","0","0","8","35","7.17"
"장다리물떼새","0","0","0","0","0","0","0.00"
"뒷부리장다리물떼새","0","0","0","0","0","0","0.00"
"댕기물떼새","0","0","7","7","0","8","3.67"
"민댕기물떼새","0","0","0","0","0","0","0.00"
"검은가슴물떼새","0","0","0","0","0","0","0.00"
"개꿩","12","109","589","737","7","0","242.33"
"흰죽지꼬마물떼새","0","0","0","0","0","0","0.00"
"흰목물떼새","9","6","4","5","8","3","5.83"
"꼬마물떼새","1","0","0","0","0","14","2.50"
"흰물떼새","0","0","0","0","0","0","0.00"
"왕눈물떼새","0","0","0","0","0","0","0.00"
"큰왕눈물떼새","0","0","0","0","0","0","0.00"
"큰물떼새","0","0","0","0","0","0","0.00"
"흰눈썹물떼새","0","0","0","0","0","0","0.00"
"호사도요","0","0","0","0","0","0","0.00"
"물꿩","0","0","0","0","0","0","0.00"
"멧도요","0","0","0","0","0","0","0.00"
"꼬마도요","0","0","0","0","0","0","0.00"
"청도요","0","0","0","0","0","0","0.00"
"큰꺅도요","0","0","0","0","0","0","0.00"
"바늘꼬리도요","0","0","0","0","0","0","0.00"
"꺅도요사촌","0","0","0","0","0","0","0.00"
"꺅도요","3","0","0","0","0","0","0.50"
"긴부리도요","0","0","0","0","0","0","0.00"
"큰부리도요","0","0","0","0","0","0","0.00"
"흑꼬리도요","0","0","0","0","0","0","0.00"
"큰뒷부리도요","0","0","0","0","0","0","0.00"
"쇠부리도요","0","0","0","0","0","0","0.00"
"중부리도요","0","0","0","0","0","0","0.00"
"마도요","0","32","1,320","1,732","760","1,112","826.00"
"알락꼬리마도요","2","4","2","0","0","0","1.33"
"학도요","0","0","0","0","0","46","7.67"
"붉은발도요","0","0","0","0","0","0","0.00"
"쇠청다리도요","0","0","0","0","0","0","0.00"
"청다리도요","22","0","37","0","0","0","9.83"
"청다리도요사촌","0","0","0","0","0","0","0.00"
"큰노랑발도요","0","0","0","0","0","0","0.00"
"삑삑도요","18","13","16","27","13","9","16.00"
"알락도요","0","0","0","0","0","0","0.00"
"뒷부리도요","11","0","0","0","0","0","1.83"
"깝작도요","16","6","0","2","17","21","10.33"
"노랑발도요","0","0","0","0","0","0","0.00"
"꼬까도요","0","0","0","0","0","0","0.00"
"붉은어깨도요","0","0","0","0","0","0","0.00"
"붉은가슴도요","0","0","0","0","0","0","0.00"
"세가락도요","0","0","0","0","0","0","0.00"
"좀도요","0","0","460","0","0","0","76.67"
"작은도요","0","0","0","0","0","0","0.00"
"흰꼬리좀도요","0","0","0","0","0","0","0.00"
"종달도요","0","0","0","0","0","0","0.00"
"아메리카메추라기도요","0","0","0","0","0","0","0.00"
"메추라기도요","0","0","0","0","0","0","0.00"
"붉은갯도요","0","0","0","0","0","0","0.00"
"민물도요","0","401","3,052","3,134","758","135","1,246.67"
"넓적부리도요","0","0","0","0","0","0","0.00"
"송곳부리도요","0","0","0","0","0","0","0.00"
"누른도요","0","0","0","0","0","0","0.00"
"목도리도요","0","0","0","0","0","0","0.00"
"큰지느러미발도요","0","0","0","0","0","0","0.00"
"지느러미발도요","0","0","0","0","0","0","0.00"
"붉은배지느러미발도요","0","0","0","0","0","0","0.00"
"제비물떼새","0","0","0","0","0","0","0.00"
"괭이갈매기","1,860","6,722","2,776","982","8,941","11,896","5,529.50"
"갈매기","0","0","11","18","7","0","6.00"
"수리갈매기","0","0","0","0","0","0","0.00"
"흰갈매기","0","0","0","0","0","0","0.00"
"작은흰갈매기","0","0","0","0","0","0","0.00"
"작은재갈매기","0","0","0","0","0","0","0.00"
"재갈매기","112","183","1,342","637","1,158","8,505","1,989.50"
"옅은재갈매기","0","0","0","0","0","0","0.00"
"한국재갈매기","97","74","23","178","102","557","171.83"
"줄무늬노랑발갈매기","0","4","0","0","0","0","0.67"
"큰재갈매기","0","0","0","1","0","0","0.17"
"큰검은머리갈매기","0","0","0","0","0","0","0.00"
"붉은부리갈매기","184","457","697","1,046","184","1,003","595.17"
"긴목갈매기","0","0","0","0","0","0","0.00"
"검은머리갈매기","0","6","61","0","0","118","30.83"
"고대갈매기","0","0","0","0","0","0","0.00"
"꼬마갈매기","0","0","0","0","0","0","0.00"
"북극흰갈매기","0","0","0","0","0","0","0.00"
"목테갈매기","0","0","0","0","0","0","0.00"
"세가락갈매기","0","0","0","0","0","0","0.00"
"큰부리제비갈매기","0","0","0","0","0","0","0.00"
"붉은부리큰제비갈매기","0","0","0","0","0","0","0.00"
"큰제비갈매기","0","0","0","0","0","0","0.00"
"뿔제비갈매기","0","0","0","0","0","0","0.00"
"긴꼬리제비갈매기","0","0","0","0","0","0","0.00"
"제비갈매기","0","0","0","0","0","0","0.00"
"쇠제비갈매기","0","0","0","0","0","0","0.00"
"알류샨제비갈매기","0","0","0","0","0","0","0.00"
"에위니아제비갈매기","0","0","0","0","0","0","0.00"
"검은등제비갈매기","0","0","0","0","0","0","0.00"
"구레나룻제비갈매기","0","0","0","0","0","0","0.00"
"흰죽지제비갈매기","0","0","0","0","0","0","0.00"
"검은제비갈매기","0","0","0","0","0","0","0.00"
"흰제비갈매기","0","0","0","0","0","0","0.00"
"남극도둑갈매기","0","0","0","0","0","0","0.00"
"넓적꼬리도둑갈매기","0","0","0","0","0","0","0.00"
"북극도둑갈매기","0","0","0","0","0","0","0.00"
"긴꼬리도둑갈매기","0","0","0","0","0","0","0.00"
"큰부리바다오리","0","0","0","0","0","0","0.00"
"바다오리","0","0","0","0","0","0","0.00"
"흰눈썹바다오리","0","0","0","0","0","0","0.00"
"알락쇠오리","0","0","0","0","0","0","0.00"
"바다쇠오리","0","0","0","0","0","0","0.00"
"뿔쇠오리","0","0","0","0","0","0","0.00"
"작은바다오리","0","0","0","0","0","0","0.00"
"흰수염바다오리","0","0","0","0","0","0","0.00"
"댕기바다오리","0","0","0","0","0","0","0.00"
"사막꿩","0","0","0","0","0","0","0.00"
"양비둘기","0","0","110","12","0","0","20.33"
"분홍가슴비둘기","0","0","0","0","0","0","0.00"
"흑비둘기","0","0","0","0","0","0","0.00"
