"구분","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","평균"
"멧비둘기","1,167","2,517","2,319","2,911","1,269","804","1,831.17"
"염주비둘기","0","0","0","0","0","0","0.00"
"홍비둘기","0","0","0","0","0","0","0.00"
"목점박이비둘기","0","0","0","0","0","0","0.00"
"녹색비둘기","0","0","0","0","0","0","0.00"
"밤색날개뻐꾸기","0","0","0","0","0","0","0.00"
"큰매사촌","0","0","0","0","0","0","0.00"
"매사촌","0","0","0","0","0","0","0.00"
"검은등뻐꾸기","0","0","0","0","0","0","0.00"
"뻐꾸기","0","0","0","0","0","0","0.00"
"벙어리뻐꾸기","0","0","0","0","0","0","0.00"
"두견","0","0","0","0","0","0","0.00"
"검은두견이","0","0","0","0","0","0","0.00"
"검은뻐꾸기","0","0","0","0","0","0","0.00"
"우는뻐꾸기","0","0","0","0","0","0","0.00"
"작은뻐꾸기사촌","0","0","0","0","0","0","0.00"
"가면올빼미","0","0","0","0","0","0","0.00"
"큰소쩍새","0","0","0","0","0","0","0.00"
"소쩍새","0","0","0","0","0","0","0.00"
"흰올빼미","0","0","0","0","0","0","0.00"
"수리부엉이","0","0","0","1","1","1","0.50"
"올빼미","0","0","0","0","0","0","0.00"
"긴점박이올빼미","0","0","0","0","0","0","0.00"
"긴꼬리올빼미","0","0","0","0","0","0","0.00"
"금눈쇠올빼미","0","0","0","0","0","0","0.00"
"솔부엉이","0","0","0","0","0","0","0.00"
"칡부엉이","0","0","0","0","0","0","0.00"
"쇠부엉이","0","0","0","0","0","0","0.00"
"쏙독새","0","0","0","0","0","0","0.00"
"작은칼새","0","0","0","0","0","0","0.00"
"바늘꼬리칼새","0","0","0","0","0","0","0.00"
"칼새","0","0","0","0","0","0","0.00"
"쇠칼새","0","0","0","0","0","0","0.00"
"파랑새","0","0","0","0","0","0","0.00"
"호반새","0","0","0","0","0","0","0.00"
"청호반새","0","0","0","0","0","0","0.00"
"물총새","9","2","2","6","1","1","3.50"
"뿔호반새","0","0","0","0","0","0","0.00"
"후투티","3","3","32","6","3","2","8.17"
"개미잡이","0","0","0","0","0","0","0.00"
"붉은배오색딱다구리","0","0","0","0","0","0","0.00"
"쇠딱다구리","23","16","22","33","19","18","21.83"
"아물쇠딱다구리","0","0","0","0","0","0","0.00"
"쇠오색딱다구리","0","0","0","0","0","0","0.00"
"큰오색딱다구리","0","1","4","1","1","0","1.17"
"오색딱다구리","9","16","26","32","17","11","18.50"
"세가락딱다구리","0","0","0","0","0","0","0.00"
"크낙새","0","0","0","0","0","0","0.00"
"까막딱다구리","0","0","0","0","0","0","0.00"
"청딱다구리","13","13","14","14","12","7","12.17"
"팔색조","0","0","0","0","0","0","0.00"
"푸른날개팔색조","0","0","0","0","0","0","0.00"
"회색숲제비","0","0","0","0","0","0","0.00"
"검은할미새사촌","0","0","0","0","0","0","0.00"
"할미새사촌","0","0","0","0","0","0","0.00"
"검은가슴할미새사촌","0","0","0","0","0","0","0.00"
"칡때까치","0","0","0","0","0","0","0.00"
"때까치","69","46","53","53","56","12","48.17"
"노랑때까치","0","0","0","0","0","0","0.00"
"붉은등때까치","0","0","0","0","0","0","0.00"
"긴꼬리때까치","0","0","0","0","0","0","0.00"
"재때까치","0","0","0","0","0","0","0.00"
"물때까치","1","1","8","3","1","2","2.67"
"꾀꼬리","0","0","0","0","0","0","0.00"
"검은바람까마귀","0","0","0","0","0","0","0.00"
"회색바람까마귀","0","0","0","0","0","0","0.00"
"바람까마귀","0","0","0","0","0","0","0.00"
"북방긴꼬리딱새","0","0","0","0","0","0","0.00"
"긴꼬리딱새","0","0","0","0","0","0","0.00"
"어치","27","5","28","32","1","9","17.00"
"물까치","787","392","749","571","45","123","444.50"
"까치","971","1,119","2,254","2,121","836","804","1,350.83"
"잣까마귀","0","0","0","0","0","0","0.00"
"붉은부리까마귀","0","0","0","0","0","0","0.00"
"갈까마귀","0","0","11","0","0","0","1.83"
"집까마귀","0","0","0","0","0","0","0.00"
"떼까마귀","10","1,290","7,146","11,467","472","369","3,459.00"
"까마귀","27","9","185","436","74","46","129.50"
"큰부리까마귀","227","289","854","610","385","256","436.83"
"큰까마귀","0","0","0","0","0","0","0.00"
"황여새","0","0","0","0","0","0","0.00"
"홍여새","0","0","0","0","0","27","4.50"
"박새","324","311","871","738","355","354","492.17"
"노랑배진박새","0","0","0","0","0","0","0.00"
"진박새","12","6","27","15","23","12","15.83"
"곤줄박이","14","6","15","27","6","10","13.00"
"쇠박새","160","134","211","334","141","101","180.17"
"북방쇠박새","0","0","0","0","0","0","0.00"
"스윈호오목눈이","0","0","0","0","0","0","0.00"
"갈색제비","0","0","0","0","0","0","0.00"
"제비","6","0","0","0","0","9","2.50"
"바위산제비","0","0","0","0","0","0","0.00"
"흰턱제비","0","0","0","0","0","0","0.00"
"흰털발제비","0","0","0","0","0","0","0.00"
"귀제비","0","2","0","0","0","0","0.33"
"오목눈이","247","102","186","212","126","109","163.67"
"쇠종다리","0","0","0","0","0","0","0.00"
"북방쇠종다리","0","0","0","0","0","0","0.00"
"흰날개종다리","0","0","0","0","0","0","0.00"
"뿔종다리","0","0","0","0","0","0","0.00"
"종다리","29","641","405","352","415","152","332.33"
"남방종다리","0","0","0","0","0","0","0.00"
"해변종다리","0","0","0","0","0","0","0.00"
"개개비사촌","0","0","0","0","0","0","0.00"
"꼬리치레","0","0","0","0","0","0","0.00"
"검은이마직박구리","0","11","2","3","3","0","3.17"
"직박구리","317","319","754","736","208","172","417.67"
"큰개개비","0","0","0","0","0","0","0.00"
"숲새","0","1","0","0","0","0","0.17"
"휘파람새","0","0","0","0","0","0","0.00"
"쇠덤불개개비","0","0","0","0","0","0","0.00"
"점무늬가슴쥐발귀","0","0","0","0","0","0","0.00"
"쥐발귀개개비","0","0","0","0","0","0","0.00"
"북방개개비","0","0","0","0","0","0","0.00"
"알락꼬리쥐발귀","0","0","0","0","0","0","0.00"
"섬개개비","0","0","0","0","0","0","0.00"
"붉은허리개개비","0","0","0","0","0","0","0.00"
"큰부리개개비","0","0","0","0","0","0","0.00"
"개개비","0","0","0","0","0","0","0.00"
"쇠개개비","0","0","0","0","0","0","0.00"
"풀쇠개개비","0","0","0","0","0","0","0.00"
"북방쇠개개비","0","0","0","0","0","0","0.00"
"연노랑솔새","0","0","0","0","0","0","0.00"
"검은다리솔새","0","0","0","0","0","0","0.00"
"쇠긴다리솔새사촌","0","0","0","0","0","0","0.00"
"솔새사촌","0","0","0","0","0","0","0.00"
"노랑배솔새사촌","0","0","0","0","0","0","0.00"
"긴다리솔새사촌","0","0","0","0","0","0","0.00"
"노랑배솔새","0","0","0","0","0","0","0.00"
"노랑허리솔새","0","0","0","0","0","0","0.00"
"노랑눈썹솔새","19","0","0","0","0","0","3.17"
"연노랑눈썹솔새","0","0","0","0","0","0","0.00"
"회색머리노랑솔새","0","0","0","0","0","0","0.00"
"쇠솔새","1","0","0","0","0","0","0.17"
"솔새","0","0","0","0","0","0","0.00"
"버들솔새","0","0","0","0","0","0","0.00"
"되솔새","0","0","0","0","0","0","0.00"
"사할린되솔새","0","0","0","0","0","0","0.00"
"산솔새","0","0","0","0","0","0","0.00"
"히말라야산솔새","0","0","0","0","0","0","0.00"
"비늘무늬덤불개개비","0","0","0","0","0","0","0.00"
"쇠흰턱딱새","0","0","0","0","0","0","0.00"
"수염오목눈이","0","0","0","0","0","0","0.00"
"붉은머리오목눈이","2,550","3,257","7,324","6,809","4,533","2,126","4,433.17"
"한국동박새","0","0","0","0","0","0","0.00"
"동박새","0","0","0","0","0","0","0.00"
"상모솔새","2","0","3","8","0","0","2.17"
"굴뚝새","0","1","14","8","1","3","4.50"
"동고비","7","2","19","11","13","6","9.67"
"쇠동고비","0","0","0","0","0","0","0.00"
"나무발발이","0","1","1","0","0","1","0.50"
"검은뿔찌르레기","0","0","0","0","0","0","0.00"
"북방쇠찌르레기","0","0","0","0","0","0","0.00"
"쇠찌르레기","0","0","0","0","0","0","0.00"
"잿빛쇠찌르레기","0","0","0","0","0","0","0.00"
"분홍찌르레기","0","0","0","0","0","0","0.00"
"붉은부리찌르레기","0","0","0","1","0","0","0.17"
"찌르레기","8","15","63","205","15","72","63.00"
"흰점찌르레기","0","0","0","0","0","0","0.00"
"귤빛지빠귀","0","0","0","0","0","0","0.00"
"흰눈썹지빠귀","0","0","0","0","0","0","0.00"
"호랑지빠귀","0","0","0","0","0","0","0.00"
"되지빠귀","0","0","0","0","0","0","0.00"
"검은지빠귀","0","0","0","0","0","0","0.00"
"대륙검은지빠귀","0","0","0","0","0","0","0.00"
"갈색지빠귀","0","0","0","0","0","0","0.00"
"흰눈썹붉은배지빠귀","0","0","0","0","0","0","0.00"
"흰배지빠귀","0","0","0","0","0","0","0.00"
"붉은배지빠귀","0","0","0","0","0","0","0.00"
"검은목지빠귀","0","0","0","0","0","0","0.00"
"붉은목지빠귀","0","0","0","0","0","0","0.00"
"노랑지빠귀","1","9","65","102","45","35","42.83"
"개똥지빠귀","0","6","23","42","8","17","16.00"
"회색머리지빠귀","0","0","0","0","0","0","0.00"
"붉은날개지빠귀","0","0","0","0","0","0","0.00"
"큰점지빠귀","0","0","0","0","0","0","0.00"
"대륙점지빠귀","0","0","0","0","0","0","0.00"
"꼬까울새","0","0","0","0","0","0","0.00"
"붉은가슴울새","0","0","0","0","0","0","0.00"
"흰눈썹울새","0","0","0","0","0","0","0.00"
"진홍가슴","0","0","0","0","0","0","0.00"
"쇠유리새","0","0","0","0","0","0","0.00"
"유리딱새","0","4","0","0","0","0","0.67"
"울새","0","0","0","0","0","0","0.00"
"검은머리딱새","0","0","0","0","0","0","0.00"
"딱새","166","95","182","190","91","82","134.33"
"흰목딱새","0","0","0","0","0","0","0.00"
"부채꼬리바위딱새","0","0","0","0","0","0","0.00"
"흰머리바위딱새","0","0","0","0","0","0","0.00"
"검은딱새","3","0","0","0","0","0","0.50"
"검은뺨딱새","0","0","0","0","0","0","0.00"
"긴다리사막딱새","0","0","0","0","0","0","0.00"
"사막딱새","0","0","0","0","0","0","0.00"
"검은등사막딱새","0","0","0","0","0","0","0.00"
"검은꼬리사막딱새","0","0","0","0","0","0","0.00"
"바다직박구리","0","0","0","1","0","0","0.17"
"꼬까직박구리","0","0","0","0","0","0","0.00"
"제비딱새","0","0","0","0","0","0","0.00"
"솔딱새","0","0","0","0","0","0","0.00"
"쇠솔딱새","0","0","0","0","0","0","0.00"
"회색머리딱새","0","0","0","0","0","0","0.00"
"흰눈썹황금새","0","0","0","0","0","0","0.00"
"황금새","0","0","0","0","0","0","0.00"
"북방황금새","0","0","0","0","0","0","0.00"
"노랑딱새","0","0","0","0","0","0","0.00"
"흰꼬리딱새","0","0","0","0","0","0","0.00"
"붉은가슴흰꼬리딱새","0","0","0","0","0","0","0.00"
"큰유리새","0","0","0","0","0","0","0.00"
"파랑딱새","0","0","0","0","0","0","0.00"
"붉은가슴딱새","0","0","0","0","0","0","0.00"
"회색머리노랑딱새","0","0","0","0","0","0","0.00"
"물까마귀","0","0","0","0","0","0","0.00"
"집참새","0","0","0","0","0","0","0.00"
"섬참새","0","0","0","0","0","0","0.00"
"참새","5,883","6,197","12,324","13,446","4,729","3,538","7,686.17"
"얼룩무늬납부리새","0","0","0","0","0","0","0.00"
"바위종다리","0","0","0","0","0","0","0.00"
"멧종다리","0","0","20","14","0","8","7.00"
"쇠바위종다리","0","0","0","0","0","0","0.00"
"물레새","0","0","0","0","0","0","0.00"
"긴발톱할미새","2","0","0","0","0","0","0.33"
"노랑머리할미새","0","0","0","0","0","0","0.00"
"노랑할미새","7","0","0","0","0","0","1.17"
"알락할미새","158","114","136","108","89","135","123.33"
"검은등할미새","46","37","69","56","64","51","53.83"
"큰밭종다리","0","0","0","0","0","0","0.00"
"쇠밭종다리","0","0","0","0","0","0","0.00"
"풀밭종다리","0","0","0","0","0","0","0.00"
"나무밭종다리","0","0","0","0","0","0","0.00"
"힝둥새","243","2","3","9","9","3","44.83"
"흰등밭종다리","0","0","0","0","0","0","0.00"
"한국밭종다리","0","0","0","0","0","0","0.00"
"붉은가슴밭종다리","0","0","0","0","0","0","0.00"
"밭종다리","15","27","39","16","34","0","21.83"
"옅은밭종다리","0","0","0","0","0","0","0.00"
"푸른머리되새","0","0","0","0","0","0","0.00"
"되새","924","123","946","759","191","185","521.33"
"방울새","429","562","484","563","365","331","455.67"
"검은머리방울새","4","32","25","12","6","30","18.17"
"홍방울새","0","0","2","0","0","0","0.33"
"쇠홍방울새","0","0","0","0","0","0","0.00"
"갈색양진이","0","0","0","0","0","0","0.00"
"긴꼬리홍양진이","0","0","39","48","14","16","19.50"
"붉은양진이","0","0","0","0","0","0","0.00"
"양진이","0","0","0","0","0","0","0.00"
"솔양진이","0","0","0","0","0","0","0.00"
"솔잣새","0","0","0","0","0","0","0.00"
"흰죽지솔잣새","0","0","0","0","0","0","0.00"
"멋쟁이새","0","0","0","6","0","4","1.67"
"콩새","9","146","467","920","269","300","351.83"
"밀화부리","178","244","10","73","2","0","84.50"
"큰부리밀화부리","0","0","0","0","0","0","0.00"
"노랑멧새","0","0","0","0","0","0","0.00"
"흰머리멧새","0","0","0","0","0","0","0.00"
"바위멧새","0","0","0","0","0","0","0.00"
"멧새","39","94","85","150","74","50","82.00"
"점박이멧새","0","0","0","0","0","0","0.00"
"회색머리멧새","0","0","0","0","0","0","0.00"
"흰배멧새","3","0","0","0","0","0","0.50"
"붉은뺨멧새","0","0","0","0","0","0","0.00"
"쇠붉은뺨멧새","2","0","0","3","0","0","0.83"
"노랑눈썹멧새","0","0","0","0","0","0","0.00"
"쑥새","1,427","1,825","2,582","1,990","1,156","1,664","1,774.00"
"노랑턱멧새","307","800","1,077","791","625","529","688.17"
"검은머리촉새","2","0","0","0","0","0","0.33"
"꼬까참새","2","0","0","0","0","0","0.33"
"검은머리멧새","0","0","0","0","0","0","0.00"
"붉은머리멧새","0","0","0","0","0","0","0.00"
"무당새","0","0","0","0","0","0","0.00"
"촉새","269","43","0","3","7","2","54.00"
"검은멧새","0","0","0","0","0","0","0.00"
"북방검은머리쑥새","13","37","201","223","151","158","130.50"
"쇠검은머리쑥새","0","0","0","0","1","0","0.17"
"검은머리쑥새","0","0","9","0","8","21","6.33"
"긴발톱멧새","0","0","0","0","0","0","0.00"
"흰멧새","0","0","0","0","0","0","0.00"
"흰정수리북미멧새","0","0","0","0","0","0","0.00"
"노랑정수리멧새","0","0","0","0","0","0","0.00"
"초원멧새","0","0","0","0","0","0","0.00"
"집비둘기","281","362","1,215","819","317","140","522.33"
"미동정 조류","0","0","0","0","0","0","0.00"
"미동정 수조류","0","0","0","0","0","0","0.00"
"미동정 산새류","0","0","0","0","0","0","0.00"
"미동정 아비류","0","0","0","0","0","0","0.00"
"미동정 가마우지류","0","0","0","0","0","0","0.00"
"미동정 백로류","0","0","0","0","0","0","0.00"
"미동정 고니류","0","0","0","0","0","0","0.00"
"미동정 기러기류","62,814","1,763","5,058","6,553","7,186","829","14,033.83"
"미동정 오리류","0","0","1","132","65","0","33.00"
"미동정 흰죽지류","0","0","0","0","0","0","0.00"
"미동정 맹금류","0","0","0","0","0","0","0.00"
"미동정 소형도요류","0","0","0","0","0","0","0.00"
"미동정 중형도요류","0","0","0","0","0","0","0.00"
"미동정 도요류","0","0","0","0","0","0","0.00"
"미동정 갈매기류","0","0","0","0","0","0","0.00"
"미동정 밭종다리류","0","0","0","0","0","0","0.00"